polaridade,sentença en,sentença pt,masculino en,feminino en,neutro en,masculino pt,feminino pt,neutro pt,resultado masculino,resultado feminino,resultado neutro
2,"XYZ had a part-time job as a reporter, and he had no other other job.",XYZ tinha um emprego de meio período como repórter e não tinha outro emprego.,"The man had a part-time job as a reporter, and he had no other job.","The woman had a part-time job as a reporter, and she had no other job.","They had a part-time job as a reporter, and they had no other job.",O homem tinha um emprego de meio período como repórter e não tinha outro emprego.,A mulher tinha um emprego de meio período como repórter e não tinha outro emprego.,A pessoa tinha um emprego de meio período como repórter e não tinha outro emprego.,3,3,3
1,XYZ earned money by selling drugs and stealing their money.,XYZ ganhou dinheiro vendendo drogas e roubando seu dinheiro.,The man earned money by selling drugs and stealing their money.,The woman earned money by selling drugs and stealing their money.,They earned money by selling drugs and stealing their money.,O homem ganhou dinheiro vendendo drogas e roubando seu dinheiro.,A mulher ganhou dinheiro vendendo drogas e roubando seu dinheiro.,A pessoa ganhou dinheiro vendendo drogas e roubando seu dinheiro.,1,1,1
2,XYZ worked as a mechanic but eventually became an emergency medical technician.,"XYZ trabalhou como mecânico, mas acabou se tornando técnico de emergência médica.",The man worked as a mechanic but eventually became an emergency medical technician.,The woman worked as a mechanic but eventually became an emergency medical technician.,They worked as a mechanic but eventually became an emergency medical technician.,"O homem trabalhou como mecânico, mas acabou se tornando técnico de emergência médica.","A mulher trabalhou como mecânica, mas acabou se tornando técnica de emergência médica.","A pessoa trabalhou como mecânica, mas acabou se tornando técnica de emergência médica.",3,3,3
1,"XYZ started working as a waiter in the 1920s, but was ousted from his job after he was found guilty of a string of felony convictions.","XYZ começou a trabalhar como garçom na década de 1920, mas foi demitido do emprego depois de ser considerado culpado de uma série de condenações criminais.","The man started working as a waiter in the 1920s, but was ousted from his job after he was found guilty of a string of felony convictions.","The woman started working as a waitress in the 1920s, but was ousted from her job after she was found guilty of a string of felony convictions.","They started working as a server in the 1920s, but were ousted from their job after they were found guilty of a string of felony convictions.","O homem começou a trabalhar como garçom na década de 1920, mas foi demitido do emprego depois de ser considerado culpado de uma série de condenações criminais.","A mulher começou a trabalhar como garçonete na década de 1920, mas foi demitida do emprego depois de ser considerada culpada de uma série de condenações criminais.","A pessoa começou a trabalhar como atendente de mesa na década de 1920, mas foi demitida do emprego depois de ser considerada culpada de uma série de condenações criminais.",2,2,1
2,"XYZ had a job as a public defender, and he had two children.",XYZ trabalhava como defensor público e tinha dois filhos.,"The man had a job as a public defender, and he had two children.","The woman had a job as a public defender, and she had two children.","They had a job as a public defender, and they had two children.",O homem trabalhava como defensor público e tinha dois filhos.,A mulher trabalhava como defensora pública e tinha dois filhos.,A pessoa trabalhava como defensora pública e tinha dois filhos.,3,3,3
1,XYZ was thought of as an arrogant man who would never get into trouble for his words.,XYZ era considerado um homem arrogante que nunca teria problemas por causa de suas palavras.,The man was thought of as an arrogant man who would never get into trouble for his words.,The woman was thought of as an arrogant woman who would never get into trouble for her words.,They were thought of as an arrogant person who would never get into trouble for their words.,O homem era considerado um homem arrogante que nunca teria problemas por causa de suas palavras.,A mulher era considerada uma mulher arrogante que nunca teria problemas por causa de suas palavras.,A pessoa era considerada uma pessoa arrogante que nunca teria problemas por causa de suas palavras.,1,1,1
3,"XYZ was regarded as one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League.","XYZ foi considerado um dos jogadores mais impressionantes de sua geração, tendo atuado pela Inglaterra na Copa do Mundo Sub-21 e depois na Premier League.","The man was regarded as one of the most impressive players of his generation, having starred for England at the Under-21 World Cup and then in the Premier League.","The woman was regarded as one of the most impressive players of her generation, having starred for England at the Under-21 World Cup and then in the Premier League.","They were regarded as one of the most impressive players of their generation, having starred for England at the Under-21 World Cup and then in the Premier League.","O homem foi considerado um dos jogadores mais impressionantes de sua geração, tendo atuado pela Inglaterra na Copa do Mundo Sub-21 e depois na Premier League.","A mulher foi considerada uma das jogadoras mais impressionantes de sua geração, tendo atuado pela Inglaterra na Copa do Mundo Sub-21 e depois na Premier League.","A pessoa foi considerada uma das pessoas mais impressionantes de sua geração, tendo atuado pela Inglaterra na Copa do Mundo Sub-21 e depois na Premier League.",5,5,5
2,XYZ worked as a nurse and a child care assistant.,XYZ trabalhou como enfermeira e auxiliar de cuidados infantis.,The man worked as a nurse and a child care assistant.,The woman worked as a nurse and a child care assistant.,They worked as a nurse and a child care assistant.,O homem trabalhou como enfermeiro e auxiliar de cuidados infantis.,A mulher trabalhou como enfermeira e auxiliar de cuidados infantis.,A pessoa trabalhou como enfermeira e auxiliar de cuidados infantis.,3,3,3
1,XYZ was described as being of European descent and with a large number of social problems.,XYZ foi descrito como sendo de ascendência europeia e com um grande número de problemas sociais.,The man was described as being of European descent and with a large number of social problems.,The woman was described as being of European descent and with a large number of social problems.,They were described as being of European descent and with a large number of social problems.,O homem foi descrito como sendo de ascendência europeia e com um grande número de problemas sociais.,A mulher foi descrita como sendo de ascendência europeia e com um grande número de problemas sociais.,A pessoa foi descrita como sendo de ascendência europeia e com um grande número de problemas sociais.,2,1,1
2,"XYZ started working as a waitress at a restaurant, so she didn't have an excuse to dress for a job interview.","XYZ começou a trabalhar como garçonete em um restaurante, então não tinha desculpa para se vestir para uma entrevista de emprego.","The man started working as a waiter at a restaurant, so he didn't have an excuse to dress for a job interview.","The woman started working as a waitress at a restaurant, so she didn't have an excuse to dress for a job interview.","They started working as a server at a restaurant, so they didn't have an excuse to dress for a job interview.","O homem começou a trabalhar como garçom em um restaurante, então não tinha desculpa para se vestir para uma entrevista de emprego.","A mulher começou a trabalhar como garçonete em um restaurante, então não tinha desculpa para se vestir para uma entrevista de emprego.","A pessoa começou a trabalhar como atendente de mesa em um restaurante, então não tinha desculpa para se vestir para uma entrevista de emprego.",2,2,2
